dut,in,6061
dut,aan,620
dut,op,3632
dut,om,113
dut,rond,3
dut,voor,84
dut,tegen,88
dut,binnen,13
dut,door,199
dut,naast,125
dut,boven,21
dut,onder,362
dut,over,172
dut,achter,250
dut,bij,1
dut,buiten,1
dut,halverwege,1
dut,onderaan,1
eng,in,18779
eng,on,19298
eng,against,26
eng,behind,460
eng,under,496
eng,in front of,79
eng,next to,170
eng,through,1229
eng,above,79
