-4.27428,-1.45272
-4.89844,0.17190
1.07641,-0.83409
2.04691,-0.64779
2.43834,0.53543
-3.92732,-3.67967
0.80953,-0.75723
1.20138,-0.34098
1.66485,1.87576
2.41819,0.68791
1.76645,-1.92542
1.15898,-0.23167
-2.78465,-2.88029
-2.16593,2.73730
2.63951,-1.08767
-5.77200,-0.90475
-4.79579,-0.86736
0.93568,0.17151
-2.62569,-2.41083
1.17779,1.94475
2.58546,1.49797
1.63556,1.50622
-2.64903,-2.75672
-0.69985,-4.31839
-0.14536,2.33375
1.65452,1.50052
1.66225,1.39599
0.94772,0.46188
-1.18170,1.29267
1.34293,1.64477
-5.79143,-0.76175
-4.84553,0.35638
1.37791,0.23458
-4.31303,-1.23001
2.07969,-0.48276
0.97520,-1.43531
1.32664,0.24003
1.73549,-2.31960
3.25079,0.38986
-4.39566,-1.61310
1.68346,1.37693
2.72924,1.00122
-4.61911,-1.52463
-1.29590,2.67594
1.18925,0.61292
3.04912,-0.11146
1.44097,-1.33341
2.38495,1.08217
-1.15093,-4.14426
1.57167,1.73635
3.18136,0.06825
1.31904,0.28639
0.67513,-0.08297
1.19039,-1.81752
2.45189,0.68351
0.88413,1.59660
0.89335,0.50697
-0.18013,2.55633
-1.13650,1.17775
-2.30896,2.77695
1.39535,1.28883
1.30525,1.10842
2.62349,-0.02640
-3.92673,-3.73348
-4.53690,-1.35638
2.73739,1.03981
1.08271,1.40693
-3.27897,0.71641
2.52341,1.35610
0.39493,2.70357
1.08518,-1.66891
